Scheme_Name	Asset_Value
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1472
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.1912
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5545
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1335
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3397
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.3976
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1446
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.7148
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.6917
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.4934
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.8843
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5112
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.8042
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.8376
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0227
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1276
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1045
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.6653
Franklin India Banking & PSU Debt Fund - Growth	22.6405
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.5476
Franklin India Banking and PSU Debt Fund - IDCW	10.9215
HDFC Banking and PSU Debt Fund - Growth Option	23.1776
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.1483
HDFC Banking and PSU Debt Fund - IDCW Option	10.1854
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	9.997
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1677
HSBC Banking and PSU Debt Fund - Direct Growth	25.7818
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.2964
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3241
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.0907
HSBC Banking and PSU Debt Fund - Regular Growth	24.4657
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5585
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.2948
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.4100
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9914
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.9923
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9940
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1048.0735
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2443.713
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1061.4175
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1008.9295
Invesco India Banking and PSU Fund - Growth Option	2281.1167
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1059.501
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.4942
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.4956
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.1383
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.1394
Kotak Banking and PSU Debt - Growth	65.8476
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3712
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.6466
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2471
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.2714
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.8571
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.2575
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0359
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.253
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.0737
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.1268
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3628
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.3428
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.3379
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0418
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0428
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	21.6989
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3514
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	21.6989
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7193
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.8654
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3508
NIPPON INDIA BANKING and PSU FUND - IDCW Option	20.8962
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6479
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.7994
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	21.6989
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	20.8962
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1470.8143
SBI BANKING & PSU FUND - Direct Plan - Growth	3339.1735
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1303.2747
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1467.5470
SBI BANKING & PSU FUND - Regular Paln - Growth	3140.1072
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1432.6038
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1220.8148
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1432.2620
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.0226
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.7579
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.3962
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.8000
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1309.2994
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1279.6755
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1148.4512
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1305.0283
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1141.8244
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1164.0658
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.9691
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.3341
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1229.7914
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.5813
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1137.6755
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1104.54
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.332
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.4401
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.5594
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.9698
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.515
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.7906
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.0827
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.8691
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.8068
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2856
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.2159
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.1725
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.3927
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.433
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7464
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.793
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0662
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.5925
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2154
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.1951
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.2545
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3461
Axis Corporate Bond Fund - Direct Plan Growth	18.2713
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2110
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1880
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.3253
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2235
Axis Corporate Bond Fund - Regular Plan Growth	17.2470
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5939
BANDHAN Corporate Bond Fund - Direct Growth	19.9625
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.9040
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3234
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.2438
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.6211
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5726
BANDHAN Corporate Bond Fund - Regular Growth	19.3758
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.2605
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5736
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.0619
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.6527
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.5597
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.1133
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.3874
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.4999
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.8093
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.4617
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.5608
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7180
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4848
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.7456
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4288
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5208
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.4037
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.4629
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.8206
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6367
DSP Corporate Bond Fund - Direct - Growth	16.4361
DSP Corporate Bond Fund - Direct - IDCW	11.6227
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5646
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.4144
DSP Corporate Bond Fund - Regular - Growth	16.1477
DSP Corporate Bond Fund - Regular - IDCW	11.5882
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5418
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.7607
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	109.0292
Franklin India Corporate Debt Fund - Growth	100.5880
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.1715
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.2990
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.3045
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.2176
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8603
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.9798
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3267
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1632
HDFC Corporate Bond Fund - Growth Option	32.7428
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.4711
HDFC Corporate Bond Fund - IDCW Option	19.8215
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.5087
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4746
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.375
HSBC Corporate Bond Fund - Direct Annual IDCW	12.1062
HSBC Corporate Bond Fund - Direct Growth	78.7021
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5362
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.5589
HSBC Corporate Bond Fund - Regular Annual IDCW	11.8428
HSBC Corporate Bond Fund - Regular Growth	73.8638
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1275
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.1833
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.0574
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.5529
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2234
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.4806
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.1121
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3764
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.1881
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1977.4012
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1264.6684
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3434.383
Invesco India Corporate Bond Fund - Direct Plan - Growth	3433.3026
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1252.7659
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1177.5812
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3363.2332
Invesco India Corporate Bond Fund - Growth	3201.772
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1835.1495
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1171.2837
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3975.5493
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1071.9096
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3805.4211
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1239.6594
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.1163
Mirae Asset Corporate Bond Fund Direct IDCW	13.1134
Mirae Asset Corporate Bond Fund Regular Growth	12.8618
Mirae Asset Corporate Bond Fund Regular IDCW	12.8618
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0224
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0269
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.1254
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7460
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.1630
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0268
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	45.3448
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	63.5124
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	43.1994
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	60.4870
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.3784
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6120
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.0018
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.0225
PGIM India Corporate Bond Fund - Annual Dividend	10.561
PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend	16.2423
PGIM India Corporate Bond Fund - Direct Plan - Growth	48.4485
PGIM India Corporate Bond Fund - Direct Plan - Monthly Dividend	14.9749
PGIM India Corporate Bond Fund - Direct Plan - Quarterly Dividend	13.0629
PGIM India Corporate Bond Fund - Growth	43.4416
PGIM India Corporate Bond Fund - Monthly Dividend	12.8576
